numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07454;20160105080000;1535.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07981;20160105093000;2100.000000;0;0.000000;mq;mq;mq;70;7;4;9;mq;30;/;/;/;5.000000;mq;mq;mq;mq;0.250000;0.050000;-99;768.000000;3105.000000;mq;273.050000;mq;0;mq;0;mq;mq;mq;mq;2;0;0.000000;mq;mq;mq;2;2;mq;mq;mq;
07456;20160105090000;2180.000000;0;0.000000;268.150000;263.160000;68;45;7;4;9;9;mq;/;/;/;4.800000;mq;265.650000;mq;270.150000;0.500000;0.150000;-99;768.000000;3115.000000;mq;269.550000;mq;0;mq;mq;mq;mq;mq;mq;3;310;10.000000;mq;mq;mq;2;9;mq;1;120.000000;
07887;20160105084500;1500.000000;0;0.000000;271.050000;270.360000;95;70;7;0;7;7;450;2;/;/;19.700000;mq;270.350000;mq;272.150000;0.500000;0.200000;-99;768.000000;3120.000000;mq;271.750000;mq;0;mq;0;mq;mq;mq;mq;4;310;4.000000;0.700000;0.150000;mq;1;2;mq;0;100.000000;
07890;20160105085000;2200.000000;360;2.000000;266.750000;264.190000;82;0;7;3;4;4;250;5;0;0;3.300000;mq;266.450000;mq;269.150000;0.420000;0.070000;-99;768.000000;3107.000000;mq;264.950000;mq;0;0;1;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;2;mq;2;mq;
07898;20160105074000;1080.000000;0;0.000000;273.150000;mq;mq;86;7;6;8;4;150;6;2;/;15.700000;mq;272.650000;mq;274.850000;0.350000;0.170000;-99;768.000000;3117.000000;mq;273.050000;mq;0;mq;mq;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;1;mq;0;mq;
07902;20160105080500;2000.000000;0;0.000000;267.250000;266.160000;92;0;7;4;7;7;450;0;7;0;mq;mq;266.950000;mq;269.850000;0.740000;0.060000;-99;768.000000;3106.000000;mq;269.950000;mq;0;0;0;mq;mq;mq;mq;3;180;5.000000;mq;0.000000;mq;9;1;mq;0;120.000000;
07903;20160105085500;1400.000000;0;0.000000;272.650000;268.040000;71;0;7;0;4;4;450;5;3;0;1.900000;mq;271.650000;mq;274.650000;0.100000;0.020000;-99;768.000000;3102.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07907;20160105083000;1585.000000;0;0.000000;272.150000;269.950000;85;0;7;0;7;3;450;2;7;/;5.500000;mq;272.150000;mq;274.150000;0.400000;0.100000;-99;768.000000;3110.000000;mq;272.150000;mq;0;0;mq;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;9;3;mq;mq;mq;
07908;20160105063000;1970.000000;270;5.000000;270.150000;269.740000;97;70;7;3;9;9;mq;/;/;/;11.000000;mq;269.550000;mq;272.550000;0.670000;0.220000;-99;768.000000;3122.000000;mq;270.450000;mq;0;mq;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;6;7;0;mq;mq;
07922;20160105084500;2300.000000;0;0.000000;266.150000;263.910000;84;0;7;4;5;5;150;5;3;0;1.000000;mq;263.150000;mq;268.150000;0.480000;0.020000;-99;768.000000;3102.000000;mq;269.250000;mq;0;2;mq;mq;mq;mq;mq;4;0;0.000000;mq;mq;mq;9;2;mq;1;110.000000;
