numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07953;20160211081900;1800.000000;0;0.000000;273.650000;272.200000;90;0;7;0;8;1;800;5;3;/;6.000000;mq;269.450000;mq;275.050000;0.340000;0.040000;-99;768.000000;3104.000000;mq;272.250000;mq;0;1;0;mq;mq;mq;mq;3;270;5.000000;mq;mq;mq;9;3;mq;1;170.000000;
07961;20160211083000;1745.000000;0;0.000000;276.050000;270.730000;68;45;7;0;9;9;mq;/;/;/;11.200000;mq;270.550000;mq;276.050000;0.340000;0.050000;-99;768.000000;3105.000000;mq;273.050000;mq;0;mq;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;2;3;mq;1;200.000000;
07968;20160211081800;1569.000000;0;0.000000;275.450000;272.010000;78;0;7;3;7;7;800;5;/;/;1.600000;mq;269.750000;mq;276.550000;0.050000;0.020000;-99;768.000000;3102.000000;mq;273.050000;mq;0;0;0;mq;mq;mq;mq;2;180;3.000000;mq;mq;mq;1;1;mq;mq;mq;
07969;20160211081500;1763.000000;180;2.000000;273.950000;271.560000;84;0;7;0;8;2;800;2;3;/;mq;mq;269.250000;mq;274.350000;0.400000;0.030000;-99;768.000000;3103.000000;mq;272.650000;mq;0;2;0;mq;mq;mq;mq;3;180;2.000000;0.850000;0.030000;mq;2;3;mq;1;160.000000;
07972;20160211073000;1715.000000;0;0.000000;272.050000;271.060000;93;45;7;4;9;mq;mq;/;/;/;1.700000;mq;270.350000;mq;276.950000;0.440000;0.020000;-99;768.000000;3102.000000;mq;272.050000;mq;0;mq;9;mq;mq;mq;mq;3;0;0.000000;0.500000;0.000000;mq;1;2;mq;mq;mq;
07973;20160211073000;1472.000000;0;0.000000;273.550000;271.640000;87;0;7;6;7;7;1250;5;/;/;7.200000;mq;270.050000;mq;275.450000;0.250000;0.050000;-99;768.000000;3105.000000;mq;273.050000;mq;0;5;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;7;7;mq;0;160.000000;
07974;20160211082000;1500.000000;0;0.000000;274.550000;273.090000;90;0;7;4;7;7;450;6;/;/;3.000000;mq;270.150000;mq;277.250000;0.200000;0.030000;-99;768.000000;3103.000000;mq;273.050000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;6;3;mq;0;270.000000;
07858;20160211085900;1765.000000;0;0.000000;263.250000;262.060000;91;0;0;7;1;0;8000;0;0;2;4.500000;mq;260.550000;mq;267.350000;2.250000;0.080000;-99;768.000000;3108.000000;mq;268.050000;mq;mq;0;mq;mq;mq;mq;mq;3;0;0.000000;mq;0.150000;mq;9;3;mq;0;125.000000;
07871;20160211083000;1150.000000;0;0.000000;268.450000;266.920000;89;0;7;6;2;0;8000;0;0;2;mq;mq;266.450000;mq;271.150000;0.140000;0.100000;-99;768.000000;3110.000000;mq;264.150000;mq;0;0;0;mq;mq;mq;mq;3;130;5.000000;1.250000;0.150000;mq;1;1;mq;1;80.000000;
07908;20160211060000;1970.000000;0;0.000000;262.150000;257.400000;68;0;7;0;9;9;mq;/;/;/;10.000000;mq;262.150000;mq;267.150000;1.930000;0.170000;-99;768.000000;3117.000000;mq;264.950000;mq;0;mq;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
